epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped,group,method,method_label
1,1.621686179720973,2.656310439348221,2.656310439348221,True,0,False,Traditional,time_surface,Time Surface
2,1.5902878780327618,2.6212524116039275,2.6212524116039275,True,0,False,Traditional,time_surface,Time Surface
3,1.5775857712017856,2.668504262328148,2.6212524116039275,False,1,False,Traditional,time_surface,Time Surface
4,1.569514478104038,2.624974444150925,2.6212524116039275,False,2,False,Traditional,time_surface,Time Surface
5,1.5656335430054171,2.643796005487442,2.6212524116039275,False,3,False,Traditional,time_surface,Time Surface
6,1.561742982939123,2.630076663196087,2.6212524116039275,False,4,False,Traditional,time_surface,Time Surface
7,1.5603084958288678,2.642763447761536,2.6212524116039275,False,5,False,Traditional,time_surface,Time Surface
8,1.5584872952066389,2.656705554127693,2.6212524116039275,False,6,False,Traditional,time_surface,Time Surface
9,1.5569304209435189,2.619962063074112,2.619962063074112,True,0,False,Traditional,time_surface,Time Surface
10,1.5544522425400227,2.5994240275025366,2.5994240275025366,True,0,False,Traditional,time_surface,Time Surface
11,1.5540294145183062,2.6342723761200904,2.5994240275025366,False,1,False,Traditional,time_surface,Time Surface
12,1.5524243146451173,2.6326273171901704,2.5994240275025366,False,2,False,Traditional,time_surface,Time Surface
13,1.551981292320121,2.6395870611071586,2.5994240275025366,False,3,False,Traditional,time_surface,Time Surface
14,1.5513392051820103,2.6239178649187087,2.5994240275025366,False,4,False,Traditional,time_surface,Time Surface
15,1.5505812544902107,2.6788978028297423,2.5994240275025366,False,5,False,Traditional,time_surface,Time Surface
16,1.5499604905232651,2.6556028628349306,2.5994240275025366,False,6,False,Traditional,time_surface,Time Surface
17,1.5489286623645173,2.6608912660479547,2.5994240275025366,False,7,False,Traditional,time_surface,Time Surface
18,1.548277022359478,2.648996638894081,2.5994240275025366,False,8,False,Traditional,time_surface,Time Surface
19,1.5480082738992194,2.6973207693099974,2.5994240275025366,False,9,False,Traditional,time_surface,Time Surface
20,1.5477209473076678,2.7066633893251417,2.5994240275025366,False,10,True,Traditional,time_surface,Time Surface
1,1.6612611290705195,2.64066251860559,2.64066251860559,True,0,False,Traditional,timestamp_image,Timestamp Image
